p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo
golden_retriever,0.765266,True,Labrador_retriever,0.206694,True,seat_belt,0.0106669,False,12.0,10.0,None,None,None,None,None
Chesapeake_Bay_retriever,0.825678,True,vizsla,0.090998,True,kelpie,0.0229562,True,10.0,10.0,Keet,None,None,None,None
jigsaw_puzzle,0.560001,False,doormat,0.1032589999999999,False,space_heater,0.042568,False,8.0,10.0,None,None,None,None,None
Chihuahua,0.4836819999999999,True,pug,0.0924938999999999,True,Brabancon_griffon,0.0574954,True,10.0,10.0,Dave,None,None,None,None
Chihuahua,0.959514,True,Italian_greyhound,0.00537015,True,Pomeranian,0.00264133,True,7.0,10.0,Clybe,None,None,None,None
Pembroke,0.741563,True,Chihuahua,0.0578659,True,toy_poodle,0.0391250999999999,True,10.0,10.0,Gabe,None,None,None,None
West_Highland_white_terrier,0.747713,True,Samoyed,0.2436289999999999,True,toy_poodle,0.00180397,True,10.0,10.0,None,None,None,None,None
toy_poodle,0.535411,True,Pomeranian,0.087544,True,miniature_poodle,0.06205,True,12.0,10.0,Pipsy,None,None,None,None
golden_retriever,0.471351,True,miniature_poodle,0.0919921,True,standard_poodle,0.0873853999999999,True,11.0,10.0,Bradlay,None,None,None,None
miniature_pinscher,0.140173,True,Rottweiler,0.134094,True,beagle,0.0818998,True,10.0,10.0,Churlie,None,None,None,None
giant_schnauzer,0.8412649999999999,True,Lakeland_terrier,0.0527442,True,Irish_water_spaniel,0.0344017,True,10.0,10.0,Kenneth,None,None,None,None
toy_poodle,0.266437,True,Chihuahua,0.243223,True,bluetick,0.0728063,True,9.0,10.0,Clarence,None,None,None,None
soft-coated_wheaten_terrier,0.318981,True,Lakeland_terrier,0.215218,True,toy_poodle,0.106014,True,4.0,10.0,None,None,None,None,None
vizsla,0.2592489999999999,True,Chesapeake_Bay_retriever,0.176293,True,Weimaraner,0.112369,True,8.0,10.0,a,None,None,None,None
golden_retriever,0.949892,True,Irish_setter,0.0105638,True,Chesapeake_Bay_retriever,0.00582141,True,10.0,10.0,Timison,None,None,None,None
vacuum,0.33583,False,swab,0.265278,False,toilet_tissue,0.140703,False,10.0,10.0,None,None,None,None,None
Rottweiler,0.28364,True,miniature_pinscher,0.148112,True,black-and-tan_coonhound,0.0955848,True,12.0,10.0,None,None,None,None,None
Siberian_husky,0.694904,True,malamute,0.232006,True,Eskimo_dog,0.0506351,True,11.0,10.0,Joshwa,None,None,None,None
golden_retriever,0.462556,True,Labrador_retriever,0.454937,True,kuvasz,0.0241933,True,9.0,10.0,Genevieve,None,None,None,None
teddy,0.709545,False,bath_towel,0.1272849999999999,False,Christmas_stocking,0.0285675,False,10.0,10.0,None,None,None,None,None
papillon,0.557009,True,Border_collie,0.271963,True,collie,0.0734729,True,8.0,10.0,Fwed,None,None,None,None
Saint_Bernard,0.381377,True,Leonberg,0.127998,True,golden_retriever,0.0693568,True,7.0,10.0,Biden,None,None,None,None
Rottweiler,0.999091,True,miniature_pinscher,0.000450355,True,black-and-tan_coonhound,0.00015714,True,12.0,10.0,None,None,None,None,None
porcupine,0.989154,False,bath_towel,0.00630049,False,badger,0.00096634,False,10.0,10.0,None,None,None,None,None
goose,0.980815,False,drake,0.00691777,False,hen,0.00525517,False,6.0,10.0,None,None,None,None,None
Labrador_retriever,0.8256700000000001,True,French_bulldog,0.0566394,True,Staffordshire_bullterrier,0.0540183999999999,True,11.0,10.0,Cupcake,None,None,None,None
Tibetan_terrier,0.676376,True,Irish_terrier,0.0549334,True,Yorkshire_terrier,0.0405755,True,7.0,10.0,Reese,None,None,None,None
toy_poodle,0.304175,True,pug,0.223427,True,Lakeland_terrier,0.0733164999999999,True,11.0,10.0,a,None,None,None,None
borzoi,0.852088,True,ice_bear,0.132264,False,weasel,0.00572998,False,7.0,10.0,None,None,None,None,None
Chihuahua,0.143957,True,Christmas_stocking,0.1186509999999999,False,ski_mask,0.0924817,False,9.0,10.0,Philippe,None,None,None,None
Labrador_retriever,0.996709,True,golden_retriever,0.00168821,True,beagle,0.0007116669999999,True,11.0,10.0,Hall,None,None,None,None
beagle,0.636169,True,Labrador_retriever,0.119256,True,golden_retriever,0.0825491999999999,True,12.0,10.0,None,None,None,None,None
Italian_greyhound,0.125176,True,standard_poodle,0.0845715,True,cocker_spaniel,0.0813469,True,8.0,10.0,Dook,None,None,None,None
hare,0.447893,False,dhole,0.0924353,False,Chesapeake_Bay_retriever,0.0881223999999999,True,12.0,10.0,None,None,None,None,None
golden_retriever,0.633037,True,kuvasz,0.146391,True,Labrador_retriever,0.0461837,True,10.0,10.0,Naphaniel,None,None,None,None
Pembroke,0.435254,True,Cardigan,0.307407,True,cocker_spaniel,0.0331583,True,8.0,10.0,Frank,None,None,None,None
Yorkshire_terrier,0.618957,True,silky_terrier,0.300313,True,Australian_terrier,0.053412,True,9.0,10.0,a,None,None,None,None
Pomeranian,0.412893,True,Pembroke,0.312958,True,Chihuahua,0.0719604,True,10.0,10.0,Kial,None,None,None,None
toy_poodle,0.787424,True,miniature_poodle,0.202225,True,teddy,0.00404722,False,9.0,10.0,George,None,None,None,None
electric_fan,0.984377,False,spotlight,0.00773671,False,lampshade,0.00190123,False,1.0,10.0,None,None,None,None,None
web_site,0.998258,False,dishwasher,0.000201084,False,oscilloscope,0.000141736,False,,,,,,,
web_site,0.999335,False,vizsla,8.10632e-05,True,collie,6.915899999999999e-05,True,,,,,,,
ibex,0.6190979999999999,False,bighorn,0.125119,False,ram,0.0746732,False,7.0,10.0,None,None,None,None,None
kuvasz,0.360159,True,golden_retriever,0.293744,True,Labrador_retriever,0.270673,True,11.0,10.0,Olive,None,None,None,None
fire_engine,0.8834930000000001,False,tow_truck,0.0747338999999999,False,jeep,0.0127726,False,9.0,10.0,Calvin,None,None,None,None
West_Highland_white_terrier,0.360465,True,pug,0.0934941,True,ice_bear,0.0690382,False,8.0,10.0,a,None,None,None,None
lorikeet,0.466149,False,hummingbird,0.083011,False,African_grey,0.0542474,False,9.0,10.0,None,None,None,None,None
dalmatian,0.5350729999999999,True,English_setter,0.451219,True,Great_Dane,0.00816361,True,8.0,10.0,None,None,None,None,None
flat-coated_retriever,0.508392,True,Chesapeake_Bay_retriever,0.262239,True,curly-coated_retriever,0.0489198,True,12.0,10.0,None,None,None,None,None
toyshop,0.253089,False,Chihuahua,0.187155,True,Brabancon_griffon,0.112799,True,10.0,10.0,Filup,None,None,None,None
miniature_pinscher,0.2142,True,bath_towel,0.146789,False,Chihuahua,0.104152,True,12.0,10.0,None,None,None,None,None
malamute,0.967275,True,Siberian_husky,0.0161675,True,Eskimo_dog,0.0112774,True,9.0,10.0,a,None,None,None,None
jigsaw_puzzle,1.0,False,prayer_rug,1.0113000000000001e-08,False,doormat,1.7401699999999998e-10,False,10.0,10.0,Shaggy,None,None,None,None
common_iguana,0.999647,False,frilled_lizard,0.00018115,False,African_chameleon,0.000128357,False,10.0,10.0,None,None,None,None,None
seat_belt,0.200373,False,miniature_pinscher,0.106003,True,schipperke,0.1047329999999999,True,2.0,10.0,Tedrick,None,None,None,None
malamute,0.0885297,True,golden_retriever,0.0874986,True,muzzle,0.0750077,False,10.0,10.0,Stu,None,None,None,None
Pomeranian,0.8004319999999999,True,Pekinese,0.168445,True,Chihuahua,0.00894952,True,11.0,10.0,Erik,None,None,None,None
Norwegian_elkhound,0.298881,True,malamute,0.279479,True,Eskimo_dog,0.198428,True,9.0,10.0,Cleopatricia,None,None,None,None
frilled_lizard,0.257695,False,ox,0.2351599999999999,False,triceratops,0.0853169,False,5.0,10.0,None,None,None,None,None
leatherback_turtle,0.452517,False,boxer,0.196655,True,terrapin,0.160983,False,10.0,10.0,Otis,None,None,None,None
Labrador_retriever,0.209051,True,hog,0.20398,False,Newfoundland,0.165914,True,9.0,10.0,Jiminy,None,None,None,None
hamster,0.172078,False,guinea_pig,0.0949242,False,Band_Aid,0.0599952,False,3.0,10.0,None,None,None,None,None
Pembroke,0.548896,True,Cardigan,0.191101,True,collie,0.0598140999999999,True,6.0,10.0,Alfie,None,None,None,None
Angora,0.918834,False,hen,0.0377934,False,wood_rabbit,0.0110149,False,2.0,10.0,None,None,None,None,None
Arctic_fox,0.473584,False,wallaby,0.261411,False,white_wolf,0.0809478,False,9.0,10.0,None,None,None,None,None
Chihuahua,0.664834,True,cowboy_boot,0.0603429999999999,False,giant_panda,0.0598375,False,7.0,10.0,a,None,None,None,None
Blenheim_spaniel,0.958402,True,cocker_spaniel,0.0267642999999999,True,Welsh_springer_spaniel,0.00778991,True,12.0,10.0,Skittles,None,None,None,None
Labrador_retriever,0.65518,True,golden_retriever,0.107884,True,Chesapeake_Bay_retriever,0.0658347,True,8.0,10.0,Ron,None,None,None,None
chow,0.395101,True,golden_retriever,0.372115,True,Labrador_retriever,0.148785,True,10.0,10.0,None,None,None,None,None
trombone,0.390339,False,cornet,0.3141489999999999,False,French_horn,0.255182,False,10.0,10.0,None,None,None,None,None
chow,0.8093199999999999,True,minivan,0.0713106999999999,False,Pekinese,0.0378695999999999,True,10.0,10.0,Torque,None,None,None,None
Chihuahua,0.7345470000000001,True,miniature_pinscher,0.0682943999999999,True,toy_terrier,0.0463671,True,8.0,10.0,Bisquick,None,None,None,None
canoe,0.407683,False,paddle,0.11555,False,Pembroke,0.0944294,True,13.0,10.0,Jareld,None,None,None,None
Pembroke,0.48483,True,Cardigan,0.425303,True,basenji,0.0147535,True,10.0,10.0,None,None,None,None,None
soft-coated_wheaten_terrier,0.4063739999999999,True,Lakeland_terrier,0.263854,True,toy_poodle,0.150844,True,10.0,10.0,Sophie,None,None,None,None
golden_retriever,0.215944,True,basset,0.189214,True,Cardigan,0.1130099999999999,True,11.0,10.0,Rusty,None,None,None,None
web_site,0.995535,False,skunk,0.00136349,False,badger,0.00068565,False,10.0,10.0,None,None,None,None,None
king_penguin,0.606747,False,ice_bear,0.264221,False,Eskimo_dog,0.0327838,True,9.0,10.0,None,None,None,None,None
shopping_basket,0.398361,False,hamper,0.363222,False,bassinet,0.0841735,False,4.0,10.0,a,None,None,None,None
Arctic_fox,0.119243,False,Labrador_retriever,0.0999648,True,pug,0.0867165,True,11.0,10.0,DayZ,None,None,None,None
standard_poodle,0.587372,True,Bedlington_terrier,0.182411,True,Afghan_hound,0.040968,True,9.0,10.0,None,None,None,None,None
Staffordshire_bullterrier,0.412879,True,miniature_pinscher,0.161488,True,American_Staffordshire_terrier,0.112495,True,8.0,10.0,Jo,None,None,None,None
basenji,0.0553793999999999,True,Shetland_sheepdog,0.0543221,True,whippet,0.0519134,True,10.0,10.0,a,None,None,None,None
Labrador_retriever,0.1958349999999999,True,kuvasz,0.1216069999999999,True,English_setter,0.0814643999999999,True,12.0,10.0,Gòrdón,None,None,None,None
Lakeland_terrier,0.372988,True,toy_poodle,0.250445,True,Chihuahua,0.189737,True,8.0,10.0,Spark,None,None,None,None
American_Staffordshire_terrier,0.2676949999999999,True,French_bulldog,0.25405,True,Staffordshire_bullterrier,0.212381,True,10.0,10.0,None,None,None,None,None
bearskin,0.42787,False,bow,0.258858,False,panpipe,0.0215625999999999,False,10.0,10.0,None,None,None,None,None
Shih-Tzu,0.985649,True,Lhasa,0.00707832,True,Pekinese,0.00305323,True,11.0,10.0,Marvin,None,None,None,None
bustard,0.380772,False,pelican,0.1005539999999999,False,crane,0.0847135,False,7.0,10.0,a,None,None,None,None
crash_helmet,0.757942,False,toaster,0.0374968,False,mouse,0.0272709,False,10.0,10.0,Kallie,None,None,None,None
Chihuahua,0.708163,True,Pomeranian,0.0913718999999999,True,titi,0.0673255,False,10.0,10.0,Jomathan,None,None,None,None
ox,0.0715361,False,groenendael,0.0544548,True,Angora,0.045028,False,10.0,10.0,Maks,None,None,None,None
French_bulldog,0.965403,True,pug,0.00860381,True,Boston_bull,0.00800356,True,9.0,10.0,Timofy,None,None,None,None
miniature_schnauzer,0.904549,True,Australian_terrier,0.0225294,True,silky_terrier,0.0152432,True,5.0,10.0,Zeek,None,None,None,None
Pekinese,0.589011,True,Shih-Tzu,0.390987,True,Japanese_spaniel,0.00331035,True,10.0,10.0,Churlie,None,None,None,None
komondor,0.999956,True,llama,4.309810000000001e-05,False,ram,2.1609000000000002e-07,False,10.0,10.0,an,None,None,None,None
vacuum,0.432594,False,pug,0.146311,True,toilet_tissue,0.0245003,False,10.0,10.0,Hanz,None,None,None,None
common_iguana,0.483972,False,frilled_lizard,0.111377,False,sandbar,0.0789834,False,3.0,10.0,None,None,None,None,None
ski_mask,0.302854,False,knee_pad,0.0968812,False,balance_beam,0.0840756,False,11.0,10.0,None,None,None,None,None
beagle,0.31911,True,Italian_greyhound,0.103338,True,basenji,0.09193,True,11.0,10.0,Winifred,None,None,None,None
Chesapeake_Bay_retriever,0.285508,True,Weimaraner,0.146832,True,black-footed_ferret,0.0608648,False,10.0,10.0,Kevon,None,None,None,None
redbone,0.461172,True,Italian_greyhound,0.270733,True,miniature_pinscher,0.109752,True,7.0,10.0,a,None,None,None,None
malinois,0.640185,True,Irish_terrier,0.1537,True,Rhodesian_ridgeback,0.0684565,True,10.0,10.0,Banditt,None,None,None,None
golden_retriever,0.903529,True,Tibetan_mastiff,0.041497,True,kuvasz,0.0225005,True,11.0,10.0,Bobb,None,None,None,None
teddy,0.413379,False,pillow,0.325623,False,miniature_schnauzer,0.0355366,True,11.0,10.0,Amélie,None,None,None,None
kelpie,0.421979,True,collie,0.2270599999999999,True,Cardigan,0.168211,True,11.0,10.0,Ruffles,None,None,None,None
Brittany_spaniel,0.828425,True,Ibizan_hound,0.043082,True,Blenheim_spaniel,0.0280036,True,11.0,10.0,Lambeau,None,None,None,None
standard_poodle,0.237638,True,Old_English_sheepdog,0.195573,True,toy_poodle,0.1446579999999999,True,9.0,10.0,Herald,None,None,None,None
cocker_spaniel,0.367492,True,Lakeland_terrier,0.272621,True,soft-coated_wheaten_terrier,0.0670063,True,10.0,10.0,a,None,None,None,None
shower_curtain,0.226309,False,Chesapeake_Bay_retriever,0.165878,True,bathtub,0.0567260999999999,False,10.0,10.0,Jaycob,None,None,None,None
basset,0.605437,True,Welsh_springer_spaniel,0.184783,True,Saint_Bernard,0.116299,True,11.0,10.0,Jeremy,None,None,None,None
golden_retriever,0.608537,True,Irish_setter,0.097078,True,redbone,0.0760222,True,12.0,10.0,Chaz,None,None,None,None
jellyfish,0.447246,False,coral_reef,0.238625,False,goldfish,0.0402269,False,4.0,10.0,None,None,None,None,None
doormat,0.976103,False,Chihuahua,0.00563972,True,Norfolk_terrier,0.00391265,True,9.0,10.0,Ruby,None,None,None,None
Arabian_camel,0.999614,False,bison,0.00022809,False,llama,6.71787e-05,False,7.0,10.0,None,None,None,None,None
pug,0.917326,True,waffle_iron,0.0149175,False,Chihuahua,0.0135244,True,3.0,10.0,Bernie,None,None,None,None
lynx,0.287506,False,tabby,0.206048,False,koala,0.0814193,False,8.0,10.0,Harrison,None,None,None,None
hog,0.113789,False,English_springer,0.0897633,True,French_bulldog,0.0821863999999999,True,5.0,10.0,None,None,None,None,None
Pembroke,0.82294,True,Cardigan,0.177035,True,basenji,2.33526e-05,True,11.0,10.0,Terrance,None,None,None,None
Chihuahua,0.1271779999999999,True,Italian_greyhound,0.0542146999999999,True,pillow,0.0485916,False,12.0,10.0,Tucker,None,None,None,None
comic_book,0.275927,False,bib,0.173516,False,jersey,0.073911,False,10.0,10.0,None,None,None,None,None
Chihuahua,0.803528,True,Pomeranian,0.0538711,True,chow,0.0322574,True,10.0,10.0,None,None,None,None,None
pug,0.910452,True,French_bulldog,0.0550895999999999,True,Chihuahua,0.0148966,True,9.0,10.0,Samsom,None,None,None,None
minivan,0.435396,False,police_van,0.310143,False,minibus,0.068201,False,10.0,10.0,Jaspers,None,None,None,None
golden_retriever,0.992758,True,Irish_setter,0.00337904,True,Saluki,0.00122963,True,8.0,10.0,Clarq,None,None,None,None
seashore,0.201659,False,Cardigan,0.131544,True,sandbar,0.1014299999999999,False,11.0,10.0,Ralf,None,None,None,None
golden_retriever,0.919584,True,Labrador_retriever,0.0496695,True,kuvasz,0.0102161,True,13.0,10.0,None,None,None,None,None
Siberian_husky,0.424202,True,Eskimo_dog,0.2376599999999999,True,malamute,0.0525717,True,12.0,10.0,Kirk,None,None,None,None
cuirass,0.756829,False,breastplate,0.2335199999999999,False,bulletproof_vest,0.00381188,False,10.0,10.0,Sully,None,None,None,None
teddy,0.379656,False,Pembroke,0.2123429999999999,True,chow,0.0969952999999999,True,10.0,10.0,Tessa,None,None,None,None
Chihuahua,0.97399,True,French_bulldog,0.010832,True,Pekinese,0.00209865,True,8.0,10.0,Dug,None,None,None,None
Labrador_retriever,0.367818,True,German_short-haired_pointer,0.280642,True,Chesapeake_Bay_retriever,0.184246,True,11.0,10.0,Saydee,None,None,None,None
golden_retriever,0.539004,True,Irish_setter,0.40655,True,cocker_spaniel,0.0414844,True,10.0,10.0,None,None,None,None,None
basset,0.749394,True,beagle,0.133579,True,Welsh_springer_spaniel,0.0301984,True,10.0,10.0,Chip,None,None,None,None
Brabancon_griffon,0.483268,True,miniature_pinscher,0.307465,True,redbone,0.0705238,True,10.0,10.0,Oliviér,None,None,None,None
Airedale,0.168762,True,Norfolk_terrier,0.1074789999999999,True,Lakeland_terrier,0.0978459,True,6.0,10.0,Billl,None,None,None,None
cocker_spaniel,0.3598429999999999,True,Blenheim_spaniel,0.139519,True,toy_poodle,0.132746,True,10.0,10.0,Ronduh,None,None,None,None
toy_poodle,0.623685,True,miniature_poodle,0.25992,True,standard_poodle,0.0825297,True,10.0,10.0,a,None,None,None,None
Chihuahua,0.980511,True,toy_terrier,0.00916644,True,miniature_pinscher,0.00265851,True,9.0,10.0,Kollin,None,None,None,None
minivan,0.8734879999999999,False,pickup,0.0412593,False,beach_wagon,0.0154005,False,7.0,10.0,Keith,None,None,None,None
West_Highland_white_terrier,0.946828,True,miniature_schnauzer,0.0223435999999999,True,cairn,0.00946166,True,10.0,10.0,Linda,None,None,None,None
candle,0.174315,False,lampshade,0.120407,False,plunger,0.0720994,False,6.0,10.0,None,None,None,None,None
Eskimo_dog,0.595665,True,Siberian_husky,0.2144739999999999,True,white_wolf,0.147235,False,10.0,10.0,Skye,None,None,None,None
Maltese_dog,0.659619,True,Tibetan_terrier,0.193539,True,Shih-Tzu,0.0393271,True,10.0,10.0,None,None,None,None,None
seat_belt,0.874502,False,golden_retriever,0.0554081,True,Labrador_retriever,0.0268543,True,12.0,10.0,Penny,None,None,None,None
weasel,0.262802,False,Siamese_cat,0.148263,False,hamster,0.116374,False,5.0,10.0,a,None,None,None,None
dalmatian,0.141257,True,borzoi,0.137744,True,Labrador_retriever,0.103792,True,8.0,10.0,Shawwn,None,None,None,None
Christmas_stocking,0.188397,False,studio_couch,0.0868867,False,bookcase,0.0825986,False,9.0,10.0,Louie,None,None,None,None
Pomeranian,0.998275,True,Chihuahua,0.000605476,True,Pekinese,0.000515688,True,10.0,10.0,Kloey,None,None,None,None
washbasin,0.245794,False,toilet_seat,0.10942,False,paper_towel,0.105664,False,8.0,10.0,Clarence,None,None,None,None
Pembroke,0.8584940000000001,True,hamster,0.0263188,False,Shetland_sheepdog,0.0224052,True,10.0,10.0,Chester,None,None,None,None
car_mirror,0.343063,False,seat_belt,0.110289,False,wing,0.0801485,False,10.0,10.0,a,None,None,None,None
Pomeranian,0.984231,True,keeshond,0.0102311,True,papillon,0.00221897,True,12.0,10.0,None,None,None,None,None
vizsla,0.743216,True,redbone,0.217282,True,Rhodesian_ridgeback,0.0284735,True,11.0,10.0,Andru,None,None,None,None
miniature_pinscher,0.734744,True,Rottweiler,0.131066,True,Doberman,0.0815094,True,10.0,10.0,Julio,None,None,None,None
teddy,0.953071,False,koala,0.00702672,False,fur_coat,0.00536817,False,10.0,10.0,None,None,None,None,None
piggy_bank,0.17632,False,hair_spray,0.097487,False,toy_poodle,0.0865016,True,9.0,10.0,Zoey,None,None,None,None
beagle,0.375313,True,Saint_Bernard,0.1749109999999999,True,English_foxhound,0.115888,True,10.0,10.0,Raphael,None,None,None,None
pot,0.273767,False,tray,0.0928884,False,doormat,0.0507279,False,5.0,10.0,None,None,None,None,None
web_site,0.901552,False,borzoi,0.0266596,True,Chihuahua,0.0124376,True,10.0,10.0,None,None,None,None,None
Blenheim_spaniel,0.998335,True,beagle,0.000647289,True,Brittany_spaniel,0.000391866,True,11.0,10.0,Ben,None,None,None,None
snail,0.563631,False,slug,0.296649,False,bolete,0.0318392,False,3.0,10.0,Tommy,None,None,None,None
Italian_greyhound,0.329339,True,American_Staffordshire_terrier,0.305294,True,whippet,0.111686,True,11.0,10.0,Liam,None,None,None,None
boathouse,0.3138289999999999,False,birdhouse,0.1383309999999999,False,ashcan,0.0456732,False,5.0,10.0,Randall,None,None,None,None
